"DOWNTIME_ID","SUBSYSTEM_ID","FAULT_TYPE","ANUAL_FAILURE_RATE","FAULT_DOWNTIME_DAYS","FAULT_DOWNTIME_DAYS_NORM"
1,1,"Minor",0.45,0.17,NULL
2,1,"Major",0.12,6.55,NULL
3,2,"Minor",0.34,0.15,NULL
4,2,"Major",0.09,6.87,NULL
5,3,"Minor",0.2,0.16,NULL
6,3,"Major",0.05,6.41,NULL
7,4,"Minor",0.18,0.18,NULL
8,4,"Major",0.05,5.93,NULL
9,5,"Minor",0.13,0.16,NULL
10,5,"Major",0.05,10.09,NULL
11,6,"Minor",0.12,0.18,NULL
12,6,"Major",0.06,10.93,NULL
13,7,"Minor",0.11,0.16,NULL
14,7,"Major",0.03,13.08,NULL
15,8,"Minor",0.09,0.18,NULL
16,8,"Major",0.02,11.86,NULL
17,9,"Minor",0.06,0.17,NULL
18,9,"Major",0.03,18.38,NULL
19,10,"Minor",0.07,0.15,NULL
20,10,"Major",0.05,14.34,NULL
21,11,"Minor",0.08,0.14,NULL
22,11,"Major",0.02,28.01,NULL
23,12,"Minor",0.03,0.17,NULL
24,12,"Major",0.02,15.47,NULL
